date,open,high,low,close,volume
2019-02-01,100.55,102.06,100.26,101.99,5615010
2019-02-04,101.98,102.34,101.07,101.8,5761238
2019-02-05,102.21,102.4,100.98,102.32,6372203
2019-02-06,104.26,106.89,104.05,106.48,9907792
2019-02-07,105.1,105.58,103.14,103.86,7045717
2019-02-08,102.45,104.81,102.14,104.55,5392365
2019-02-11,104.71,105.45,104.25,104.76,4552957
2019-02-12,105.93,106.58,105.75,106.44,5316797
2019-02-13,106.79,108.12,106.66,107.15,5965153
2019-02-14,106.78,108.39,106.43,106.97,3438799
2019-02-15,107.83,107.87,106.69,107.57,3604287
2019-02-19,107.11,107.89,106.61,107.28,3188034
2019-02-20,107.72,108.46,107.24,107.94,3692839
2019-02-21,106.97,107.75,106.2,106.64,3933507
2019-02-22,107.9,108.38,106.65,107.31,4392946
2019-02-25,109.0,109.49,107.83,108.19,5750194
2019-02-26,108.15,108.17,106.83,107.27,3740067
2019-02-27,106.42,106.42,104.71,105.71,4395846
2019-02-28,105.18,105.84,104.81,105.78,5465836
2019-03-01,106.86,107.09,105.78,106.76,4164222
2019-03-04,107.46,108.13,106.0,107.4,3278524
2019-03-05,107.67,107.79,106.52,106.57,4008599
2019-03-06,106.6,106.75,105.26,105.42,3567995
2019-03-07,104.85,105.72,103.68,104.95,5430954
2019-03-08,103.69,105.11,103.35,104.86,5180808
2019-03-11,105.16,106.9,105.0,106.45,3319776
2019-03-12,106.85,107.05,105.76,106.52,3047157
2019-03-13,107.16,108.29,106.66,107.58,3911091
2019-03-14,107.26,107.68,105.97,107.1,5393705
2019-03-15,108.0,110.8,107.99,110.74,13932276
2019-03-18,110.05,111.14,108.92,109.81,4408856
2019-03-19,110.58,110.8,109.55,110.02,3592073
2019-03-20,110.14,110.9,109.03,109.63,3829383
2019-03-21,110.01,112.98,109.95,112.22,5772737
2019-03-22,111.72,112.41,109.53,109.68,3773458
2019-03-25,108.13,109.22,106.26,107.11,5479123
2019-03-26,108.28,108.75,107.39,108.33,3085484
2019-03-27,108.39,108.83,105.45,105.97,4797151
2019-03-28,105.99,106.4,103.63,104.91,5386431
2019-03-29,106.05,106.63,105.36,106.07,4327752
2019-04-01,107.99,108.96,106.93,108.64,5349756
2019-04-02,108.97,110.43,108.18,110.28,7005550
2019-04-03,111.88,114.15,111.4,112.75,7036692
2019-04-04,112.38,114.27,112.36,113.24,5035582
2019-04-05,113.81,114.12,113.31,113.63,3318356
2019-04-08,113.8,115.42,113.32,115.22,4580757
2019-04-09,114.55,114.67,113.25,113.94,4648195
2019-04-10,113.88,115.19,113.54,114.92,3013281
2019-04-11,115.06,115.43,114.13,114.88,2799289
2019-04-12,115.78,117.03,115.78,116.76,4881103
2019-04-15,116.61,117.37,114.02,115.09,4265146
2019-04-16,115.84,116.85,115.63,116.37,4133741
2019-04-17,116.97,117.85,114.91,115.6,6227546
2019-04-18,116.18,116.18,115.13,115.51,4195777
2019-04-22,114.53,115.15,113.65,114.95,3691404
2019-04-23,115.4,116.53,114.52,116.38,7547377
2019-04-24,115.0,119.32,114.85,118.43,14483915
2019-04-25,117.84,118.42,115.65,117.17,5315369
2019-04-26,116.0,117.25,115.31,117.21,3582596
2019-04-29,116.73,117.34,116.0,116.7,3407667
2019-04-30,116.88,118.37,116.66,117.83,4533170
2019-05-01,118.06,118.92,116.2,116.29,3335828
2019-05-02,116.4,118.57,116.28,117.46,4532277
2019-05-03,117.46,117.97,116.11,117.47,3689006
2019-05-06,114.12,116.0,113.5,115.86,3974309
2019-05-07,114.0,114.43,112.25,113.93,5928098
2019-05-08,112.82,114.75,112.48,112.56,4819339
2019-05-09,110.88,112.84,110.2,112.15,4817546
2019-05-10,111.86,113.13,109.36,112.6,4189912
2019-05-13,109.17,110.35,106.73,107.11,7867589
2019-05-14,108.21,109.85,107.88,109.04,4068204
2019-05-15,108.0,110.87,107.71,110.29,4803551
2019-05-16,108.93,110.63,108.1,109.21,4690553
2019-05-17,108.18,109.48,106.11,106.79,6944146
2019-05-20,103.09,105.89,103.09,104.73,7519879
2019-05-21,106.9,108.0,106.27,107.0,4977247
2019-05-22,106.59,107.89,106.4,106.78,3296952
2019-05-23,105.78,105.99,104.35,105.83,4827999
2019-05-24,106.53,107.49,104.92,105.06,2786453
2019-05-28,105.89,105.95,103.15,103.21,5707066
2019-05-29,102.66,104.9,101.57,104.15,4923416
2019-05-30,104.48,106.1,104.13,105.44,3365867
2019-05-31,104.32,106.12,104.0,104.31,4463299
2019-06-03,105.04,106.98,104.59,105.17,4504512
2019-06-04,107.16,109.25,106.35,109.12,4924740
2019-06-05,110.0,110.29,107.78,109.48,3977550
2019-06-06,109.51,110.67,108.79,110.19,4734078
2019-06-07,111.14,111.83,110.59,111.17,5408589
2019-06-10,111.76,113.51,111.0,112.63,4656767
2019-06-11,114.31,114.34,111.97,112.93,4775720
2019-06-12,112.48,112.79,109.98,110.34,4105382
2019-06-13,110.76,111.36,110.32,111.18,3391988
2019-06-14,106.84,109.05,106.8,107.31,7137765
2019-06-17,107.3,108.0,106.55,106.72,3655294
2019-06-18,108.3,111.57,107.58,111.04,5207947
2019-06-19,111.8,112.3,110.69,111.3,2745976
2019-06-20,113.87,114.35,111.71,112.71,2789875
2019-06-21,111.87,113.37,111.66,112.32,5124879
2019-06-24,112.17,113.09,111.82,112.73,3356248
2019-06-25,112.91,113.24,111.34,111.48,3426179
2019-06-26,113.41,115.02,112.77,114.43,5308196
2019-06-27,115.22,116.66,115.02,115.86,4163751
2019-06-28,116.42,116.83,114.5,114.76,6129764
2019-07-01,117.6,118.98,116.24,117.19,6139541
2019-07-02,116.99,117.0,115.11,116.06,3818601
2019-07-03,116.19,116.4,114.92,115.94,2321706
2019-07-05,114.82,116.07,114.37,115.75,2915794
2019-07-08,115.19,115.82,114.68,114.93,2974544
2019-07-09,114.6,115.92,114.39,115.78,2754212
2019-07-10,116.62,118.45,116.19,116.64,3532036
2019-07-11,116.6,116.98,115.89,116.72,3044665
2019-07-12,117.65,118.4,116.66,118.32,2292511
2019-07-15,118.5,120.0,118.49,119.84,4020553
2019-07-16,118.5,119.05,117.54,118.68,4588771
2019-07-17,118.44,118.49,116.76,117.18,4027860
2019-07-18,117.49,118.72,117.01,118.57,2913102
2019-07-19,118.75,119.0,117.04,117.26,5596290
2019-07-22,117.98,118.49,117.57,118.18,3865842
2019-07-23,119.2,120.35,118.55,120.07,7146918
2019-07-24,126.5,129.8,125.96,129.0,16553283
2019-07-25,128.59,128.8,126.57,127.35,8504457
2019-07-26,127.82,128.93,127.31,128.16,5282341
2019-07-29,128.2,130.37,127.93,129.97,6070054
2019-07-30,128.19,128.97,127.49,128.54,3487331
2019-07-31,127.82,128.57,123.04,125.01,6601558
2019-08-01,125.6,128.73,123.23,123.45,7979279
2019-08-02,123.19,124.35,121.07,121.82,7368423
2019-08-05,119.22,119.29,116.22,116.93,8689826
2019-08-06,118.36,119.35,117.03,119.0,4784123
2019-08-07,117.29,120.99,117.05,120.72,7726599
2019-08-08,121.98,124.58,121.38,124.31,6226405
2019-08-09,123.97,124.32,120.6,120.61,5777492
2019-08-12,119.61,121.07,119.47,120.08,3728377
2019-08-13,120.36,124.45,119.28,123.34,6430861
2019-08-14,120.7,122.21,120.16,120.6,4531770
2019-08-15,121.27,121.61,118.73,119.85,3427954
2019-08-16,121.28,123.21,119.85,122.82,3830068
2019-08-19,125.55,126.36,124.01,124.6,3244489
2019-08-20,124.23,125.22,123.41,124.31,2706448
2019-08-21,125.5,126.08,124.7,126.04,3866079
2019-08-22,126.11,126.6,124.19,125.21,2997847
2019-08-23,124.12,125.09,119.84,120.29,6518079
2019-08-26,122.46,122.47,120.51,121.67,3294014
2019-08-27,122.93,123.58,121.53,122.18,3679726
2019-08-28,121.37,122.98,120.53,122.74,2470837
2019-08-29,124.18,125.31,123.39,123.57,3454599
2019-08-30,124.83,125.24,123.44,123.75,2747536
2019-09-03,123.05,123.48,120.67,121.74,3913178
2019-09-04,123.95,124.94,123.85,124.59,3858217
2019-09-05,126.75,129.01,126.15,126.81,5330649
2019-09-06,127.1,127.91,126.59,127.09,2457537
2019-09-09,127.94,127.94,125.68,127.1,3813653
2019-09-10,126.01,127.06,124.9,127.04,4725625
2019-09-11,127.0,128.65,126.4,128.58,4286118
2019-09-12,129.2,130.92,128.37,130.22,4472948
2019-09-13,130.47,130.89,129.56,129.61,3110817
2019-09-16,128.76,129.48,128.09,128.36,3065823
2019-09-17,128.3,129.7,127.62,129.56,2829346
2019-09-18,129.56,129.56,127.2,129.31,2409716
2019-09-19,129.5,130.26,128.5,128.83,2677210
2019-09-20,128.3,128.75,126.22,126.67,7624080
2019-09-23,126.67,128.35,126.31,127.77,4966743
2019-09-24,128.77,128.81,124.9,125.81,4745578
2019-09-25,125.3,128.33,124.53,127.74,3393744
2019-09-26,128.28,128.67,126.64,128.11,3538734
2019-09-27,129.52,129.64,125.86,127.14,5263516
2019-09-30,127.69,129.4,127.57,129.24,4328831
2019-10-01,130.0,131.8,127.59,128.59,5132152
2019-10-02,127.26,127.78,126.22,126.84,5379725
2019-10-03,127.27,129.25,125.86,128.7,5408731
2019-10-04,129.31,130.31,128.99,130.14,3936442
2019-10-07,130.04,130.49,128.74,128.85,2594250
2019-10-08,127.42,127.87,123.63,124.98,4891030
2019-10-09,126.75,128.18,126.32,127.44,2933364
2019-10-10,127.86,129.37,127.1,127.73,4161057
2019-10-11,130.1,131.76,129.56,130.09,4736511
2019-10-14,129.58,129.94,129.07,129.75,2293940
2019-10-15,130.28,132.2,129.79,131.69,3038067
2019-10-16,130.83,131.45,129.19,129.5,4591847
2019-10-17,130.9,131.39,128.81,130.13,3004719
2019-10-18,129.79,130.42,128.55,129.46,4125988
2019-10-21,130.74,131.02,129.65,130.93,3456823
2019-10-22,130.27,131.1,128.23,128.57,5897940
2019-10-23,116.8,121.62,115.87,118.95,18571135
2019-10-24,118.81,120.29,117.32,118.41,6355642
2019-10-25,118.51,120.69,118.51,120.51,4788229
2019-10-28,121.06,122.1,119.24,120.0,6492874
2019-10-29,120.52,120.92,119.52,120.29,4622177
2019-10-30,119.73,120.07,117.58,117.79,5276221
